id,date,time,lat,long,country,city,area,direction,dist,depth,xm,md,richter,mw,ms,mb
2.01E+13,2007.02.15,12:49:15 AM,38.8,40.07,turkey,elazig,karasungur_kovancilar,south_east,0.2,5,3.7,0,3.7,,0,0
2.02E+13,2017.02.06,12:03:32 AM,39.53,26.12,turkey,canakkale,gulpinar_ayvacik,south_east,0.2,10.8,3.6,0,3.6,0,0,0
1.99E+13,1993.09.03,12:48:31 AM,40.14,27.25,turkey,canakkale,elmali_biga,south,0.2,10,3.5,3.5,0,,0,0
1.99E+13,1994.07.30,12:28:50 AM,39.12,27.18,turkey,izmir,bergama,south,0.2,5,3.5,3.5,0,,0,0
2.01E+13,2006.07.19,12:26:19 AM,38.35,39.08,turkey,elazig,doganbagi_sivrice,south,0.2,7,3.8,3.8,3.8,,0,0
2.01E+13,2014.10.21,12:03:56 AM,38.18,27.11,turkey,izmir,sasal_menderes,south,0.2,17.7,4.1,0,4.1,3.8,0,0
1.97E+13,1967.08.14,12:34:20 AM,40.68,30.27,turkey,sakarya,nailiye_sapanca,north_west,0.2,33,4.5,4.2,4.2,4.5,4,4.4
1.97E+13,1970.04.10,12:13:49 AM,39.13,29.31,turkey,kutahya,soguksu_gediz,north_west,0.2,10,4.4,4.2,4.2,4.4,4,4.3
1.97E+13,1970.04.10,12:14:40 AM,39.13,29.31,turkey,kutahya,soguksu_gediz,north_west,0.2,22,4.3,4.1,4.2,4.3,3.9,4.2
1.97E+13,1974.01.06,12:37:24 AM,38.28,42.92,turkey,van,kazanc_gevas,north_west,0.2,28,4.4,4.2,4.4,4.4,4,4.3
1.98E+13,1981.07.23,12:35:28 AM,40.3,28.94,turkey,bursa,cagrisan_mudanya,north_west,0.2,7,3.9,0,0,,0,3.9
1.98E+13,1984.04.04,12:41:43 AM,40.43,42.14,turkey,erzurum,nugurcuk_oltu,north_west,0.2,45,4.5,0,0,,0,4.5
2.00E+13,1996.11.06,12:49:08 AM,38.71,40.4,turkey,bingol,camliyurt_genc,north_west,0.2,22,3.8,3.8,0,,0,0
2.00E+13,1999.08.17,12:02:12 AM,40.77,31.11,turkey,duzce,cinarli,north_west,0.2,16,5,5,0,,0,0
2.00E+13,2003.10.20,12:27:00 AM,38.91,43.66,turkey,van,ovapinar_muradiye,north_west,0.2,9,4.9,4.5,0,4.9,0,4.8
2.00E+13,2003.12.24,12:30:48 AM,40.29,41.38,turkey,erzurum,yellitepe_tortum,north_west,0.2,10,3.8,3.8,0,,0,0
2.01E+13,2005.08.29,12:33:48 AM,40.52,36.83,turkey,tokat,mercimekduzu_niksar,north_west,0.2,5,4.2,4.2,4.2,,0,0
2.01E+13,2008.07.12,12:54:03 AM,39.28,41.72,turkey,erzurum,catak_hinis,north_west,0.2,5,4,0,4,,0,0
2.01E+13,2011.11.06,12:30:54 AM,38.74,43.45,turkey,van,yemlice,north_west,0.2,6,3.9,0,3.9,,0,0
2.01E+13,2013.08.31,12:49:43 AM,39.4,28.23,turkey,balikesir,durasilar_bigadic,north_west,0.2,1.7,3.6,0,3.6,,0,0
2.02E+13,2017.02.28,12:26:40 AM,39.48,26.06,turkey,canakkale,babakale_ayvacik,north_west,0.2,12.4,3.5,0,3.5,0,0,0
1.98E+13,1984.04.01,12:23:54 AM,39.65,28.84,turkey,bursa,demirler_buyukorhan,north_east,0.2,5,3.5,0,0,,0,3.5
1.99E+13,1988.10.26,12:10:28 AM,37.96,27.69,turkey,aydin,meseli_germencik,north_east,0.2,19,4.8,0,3.9,,0,4.8
1.99E+13,1989.01.02,12:25:46 AM,37.05,27.4,turkey,mugla,konacik_bodrum,north_east,0.2,9,3.5,3.5,0,,0,0
1.99E+13,1989.01.03,12:38:48 AM,37.05,27.4,turkey,mugla,konacik_bodrum,north_east,0.2,10,3.7,3.7,0,,0,0
1.99E+13,1989.09.28,12:13:15 AM,38.22,27.45,turkey,izmir,duverlik_torbali,north_east,0.2,10,3.5,3.5,0,,0,0
1.99E+13,1990.04.25,12:17:34 AM,37.11,27.75,turkey,mugla,demirciler_milas,north_east,0.2,5,3.7,0,3.7,,0,0
2.00E+13,1997.06.09,12:59:31 AM,41.35,31.57,turkey,zonguldak,terzikoy_eregli,north_east,0.2,4,3.8,3.8,0,,0,0
2.00E+13,1998.11.11,12:33:55 AM,40.7,30,turkey,kocaeli,dogantepe_basiskele,north_east,0.2,16,3.5,3.5,0,,0,0
2.00E+13,1999.11.12,12:16:00 AM,40.74,31.38,turkey,duzce,yesiltepe_kaynasli,north_east,0.2,10,4.7,4.7,0,,0,0
2.00E+13,1999.11.13,12:10:00 AM,40.74,31.38,turkey,duzce,yesiltepe_kaynasli,north_east,0.2,10,4.2,4.2,0,,0,0
2.00E+13,1999.11.15,12:44:43 AM,40.91,30.33,turkey,sakarya,orentepe_adapazari,north_east,0.2,7,4,4,0,,0,0
2.00E+13,2003.09.01,12:43:09 AM,40.9,32.42,turkey,karabuk,kabaarmut_eskipazar,north_east,0.2,9,3.8,3.8,3.7,,0,0
2.01E+13,2005.03.04,12:06:07 AM,41.03,35.7,turkey,samsun,kuskonagi_havza,north_east,0.2,10.9,3.5,3.5,0,,0,0
2.01E+13,2011.05.21,12:43:08 AM,39.1,29.03,turkey,kutahya,gokceler_simav,north_east,0.2,4.8,3.8,0,3.8,,0,0
2.01E+13,2011.10.24,12:06:31 AM,38.91,43.66,turkey,van,ovapinar_muradiye,north_east,0.2,5,3.5,0,3.5,,0,0
2.01E+13,2011.11.24,12:56:00 AM,38.98,43.58,turkey,van,unseli_muradiye,north_east,0.2,5,3.7,0,3.7,,0,0
2.01E+13,2012.10.30,12:48:14 AM,37.31,37.13,turkey,kahramanmaras,hanobasi_pazarcik,north_east,0.2,3,3.6,0,3.6,,0,0
2.02E+13,2017.07.15,12:00:31 AM,38.17,43.23,turkey,van,boyunpinar_catak,north_east,0.2,2.1,3.5,0,3.3,3.5,0,0
2.01E+13,2006.01.05,12:47:45 AM,38.27,38.81,turkey,malatya,karsiyaka_puturge,north,0.2,7.2,3.9,3.9,0,,0,0
2.00E+13,1997.03.01,12:31:43 AM,40.76,35.4,turkey,amasya,kireymir_merzifon,east,0.2,3,3.5,3.5,0,,0,0
1.95E+13,1949.05.13,12:14:07 AM,40.94,32.71,turkey,karabuk,incebogaz_eskipazar,west,0.3,20,5.3,5,5,5.3,5.1,5.1
1.97E+13,1974.10.07,12:40:51 AM,41.08,27.9,turkey,tekirdag,yakuplu_marmaraereglisi,west,0.3,5,3.5,3.5,0,,0,0
1.98E+13,1984.08.18,12:04:49 AM,38.63,27.65,turkey,manisa,gumulceli_saruhanli,west,0.3,10,3.7,0,3.7,,0,0
2.00E+13,2004.02.07,12:53:16 AM,39.88,29.21,turkey,bursa,alpagut_keles,west,0.3,8,3.5,0,3.5,,0,0
2.01E+13,2007.09.29,12:16:56 AM,39.75,27.75,turkey,balikesir,deliklitas,west,0.3,7.7,3.6,0,3.6,,0,0
1.95E+13,1949.11.28,12:47:18 AM,40.98,30.74,turkey,sakarya,kurudere_karasu,south_west,0.3,10,4.9,4.7,4.7,4.9,4.7,4.8
1.99E+13,1986.03.20,12:57:27 AM,39.08,29.54,turkey,kutahya,yeniguney_gediz,south_west,0.3,2,3.7,0,0,,0,3.7
1.99E+13,1994.04.07,12:21:33 AM,38.74,27.39,turkey,manisa,kiranciftlik,south_west,0.3,8,3.7,3.7,0,,0,0
2.00E+13,1996.02.20,12:53:06 AM,38.25,27.13,turkey,izmir,menderes,south_west,0.3,31,4,4,0,,0,0
2.00E+13,1996.03.17,12:12:55 AM,40.71,35.38,turkey,amasya,caybasi_merzifon,south_west,0.3,7,4.4,4.4,0,,0,0
2.00E+13,2000.01.18,12:24:33 AM,38.84,38.18,turkey,malatya,armutlu_arguvan,south_west,0.3,4,3.5,3.5,0,,0,0
2.01E+13,2011.11.13,12:05:23 AM,38.9,43.58,turkey,van,cakirbey,south_west,0.3,6,3.5,0,3.5,,0,0
2.01E+13,2012.07.22,12:26:03 AM,37.54,36.38,turkey,kahramanmaras,gokceli_andirin,south_west,0.3,10.5,5,0,5,,0,0
2.01E+13,2012.10.16,12:25:04 AM,37.31,37.12,turkey,kahramanmaras,hanobasi_pazarcik,south_west,0.3,10.8,4.5,0,4.5,,0,0
1.96E+13,1955.07.16,12:07:17 AM,37.65,27.26,turkey,aydin,yuvaca_soke,south_east,0.3,40,6.8,6.4,6.3,6.5,6.8,6.3
1.98E+13,1977.04.05,12:30:09 AM,37.52,29.74,turkey,burdur,kayadibi_yesilova,south_east,0.3,0,3.6,0,0,,0,3.6
1.98E+13,1980.05.02,12:15:12 AM,39.16,28.97,turkey,kutahya,nasa_simav,south_east,0.3,10,3.9,0,0,,0,3.9
1.99E+13,1986.04.11,12:10:34 AM,40.01,43.34,turkey,igdir,saribulak_tuzluca,south_east,0.3,33,4.9,0,0,,0,4.9
1.99E+13,1991.04.22,12:37:58 AM,38.97,28.84,turkey,manisa,elek_demirci,south_east,0.3,2,3.6,3.6,0,,0,0
1.99E+13,1992.03.16,12:44:20 AM,37.09,28.5,turkey,mugla,cicekli_ula,south_east,0.3,10,3.5,3.5,0,,0,0
2.00E+13,1999.11.12,12:24:00 AM,40.76,31.11,turkey,duzce,aydinpinar,south_east,0.3,10,4.7,4.7,0,,0,0
2.00E+13,1999.11.15,12:22:26 AM,40.9,31.19,turkey,duzce,yoruk,south_east,0.3,5,3.6,3.6,0,,0,0
2.00E+13,2001.08.12,12:31:28 AM,40.31,33.74,turkey,kirikkale,kiyikavurgali_sulakyurt,south_east,0.3,14,4,4,0,,0,0
2.01E+13,2005.02.02,12:52:15 AM,37.69,44.16,turkey,hakkari,dilektasi_yuksekova,south_east,0.3,7.8,3.6,3.6,0,,0,0
2.01E+13,2007.02.09,12:38:50 AM,38.41,39.02,turkey,elazig,tarlatepe_sivrice,south_east,0.3,3.1,3.9,3.9,0,,0,0
2.01E+13,2007.10.29,12:58:05 AM,37.4,36.34,turkey,kahramanmaras,anacik_andirin,south_east,0.3,8.9,3.6,3.6,3.5,,0,0
2.01E+13,2009.03.09,12:42:30 AM,39.05,32.34,turkey,ankara,emirler_haymana,south_east,0.3,5,3.9,3.9,3.7,,0,0
2.01E+13,2011.11.08,12:38:04 AM,38.82,43.66,turkey,van,esenkoc_muradiye,south_east,0.3,6,3.5,0,3.5,,0,0
2.01E+13,2012.05.03,12:24:15 AM,39.13,29.17,turkey,kutahya,inlice_simav,south_east,0.3,5,4,0,4,,0,0
2.01E+13,2012.06.15,12:48:16 AM,37.29,42.39,turkey,sirnak,ucagac_silopi,south_east,0.3,3.4,4.3,0,4.3,,0,0
2.01E+13,2013.11.10,12:09:23 AM,40.76,30.27,turkey,sakarya,yukariderekoy_serdivan,south_east,0.3,13.8,3.5,0,3.5,,0,0
2.02E+13,2015.03.28,12:08:16 AM,37.48,36.41,turkey,kahramanmaras,bogazoren_andirin,south_east,0.3,7.7,4.1,0,4.1,4.1,0,0
2.00E+13,1999.08.25,12:43:16 AM,40.96,30.91,turkey,sakarya,yalpankaya_kocaali,south,0.3,14,3.5,3.5,0,,0,0
2.00E+13,2000.05.14,12:18:59 AM,38.6,39.92,turkey,elazig,akyurek_palu,south,0.3,0,3.8,3.8,0,,0,0
2.00E+13,2000.08.24,12:52:36 AM,37.89,27.59,turkey,aydin,hidirbeyli_germencik,south,0.3,5,3.5,3.5,0,,0,0
2.00E+13,2002.01.16,12:10:31 AM,38.45,40.34,turkey,diyarbakir,cukurkoy_hani,south,0.3,5,3.6,3.6,0,,0,0
2.01E+13,2011.05.29,12:31:40 AM,39.12,29.08,turkey,kutahya,sogut_simav,south,0.3,9.9,4.6,0,4.6,,0,4.2
1.93E+13,1930.04.09,12:07:46 AM,39.7,34,turkey,kirsehir,odemisli_akcakent,north_west,0.3,30,5.3,5,4.9,5.3,5,5
1.96E+13,1964.06.05,12:11:05 AM,39.13,43.19,turkey,van,yetisen_ercis,north_west,0.3,42,4.7,4.5,4.5,4.7,4.4,4.6
1.96E+13,1964.06.25,12:11:52 AM,39.13,43.19,turkey,van,yetisen_ercis,north_west,0.3,42,4.8,4.7,4.6,4.8,4.6,4.7
1.97E+13,1967.06.22,12:24:42 AM,40.88,33.7,turkey,cankiri,sarmasik_ilgaz,north_west,0.3,33,4.7,4.5,4.5,4.7,4.4,4.6
1.97E+13,1970.04.05,12:29:48 AM,39.31,29.18,turkey,kutahya,yenice_emet,north_west,0.3,10,4.4,4.2,4.3,4.4,4,4.3
1.98E+13,1976.05.23,12:53:50 AM,39.31,29.18,turkey,kutahya,yenice_emet,north_west,0.3,0,3.9,0,3.6,,0,3.9
1.98E+13,1983.11.29,12:30:54 AM,39.43,28.18,turkey,balikesir,ozgoren_bigadic,north_west,0.3,9,3.5,0,0,,0,3.5
1.99E+13,1986.10.30,12:46:46 AM,39.74,28.78,turkey,bursa,bayindir_buyukorhan,north_west,0.3,8,4.2,0,4.2,,0,4
1.99E+13,1989.06.10,12:08:33 AM,38.38,27.13,turkey,izmir,karabaglar,north_west,0.3,9,3.7,3.7,0,,0,0
2.00E+13,1995.09.20,12:39:55 AM,38.53,30.17,turkey,afyonkarahisar,karasandikli_sandikli,north_west,0.3,6,3.5,3.5,0,,0,0
2.00E+13,1995.10.27,12:10:46 AM,39.74,38.24,turkey,sivas,bahtiyar_imranli,north_west,0.3,8,3.8,3.8,0,,0,0
2.00E+13,1999.10.23,12:33:28 AM,40.88,31.08,turkey,duzce,kusoglu_cilimli,north_west,0.3,8,3.5,3.5,0,,0,0
2.00E+13,2002.07.22,12:40:52 AM,38.17,38.69,turkey,malatya,sahilkoy_puturge,north_west,0.3,6,4.3,4.3,0,,0,0
2.00E+13,2003.05.06,12:42:01 AM,38.42,39.25,turkey,elazig,sogukpinar_sivrice,north_west,0.3,10,3.5,3.5,0,,0,0
2.01E+13,2007.08.27,12:01:06 AM,39.5,37.49,turkey,sivas,cavdar_ulas,north_west,0.3,3.7,3.5,3.5,0,,0,0
2.01E+13,2009.11.22,12:01:47 AM,41.32,33.57,turkey,kastamonu,nalcikuyucagi,north_west,0.3,5,4.5,0,4.5,,0,4.5
2.02E+13,2015.03.24,12:09:51 AM,39.33,27.49,turkey,manisa,devlethan_soma,north_west,0.3,4.5,3.5,0,3.5,,0,0
2.02E+13,2016.09.04,12:15:41 AM,39.3,36.32,turkey,sivas,kizilcakisla_sarkisla,north_west,0.3,2.5,4.1,0,4.1,4,0,0
1.96E+13,1964.10.20,12:47:56 AM,40,28.6,turkey,bursa,isiklar_mustafakemalpasa,north_east,0.3,10,5.1,4.8,4.9,5.1,4.8,4.9
1.97E+13,1970.03.30,12:32:36 AM,39.09,29.59,turkey,kutahya,samralar_gediz,north_east,0.3,30,5.1,4.9,5.1,5,4.9,4.7
1.97E+13,1970.04.30,12:59:09 AM,39.09,29.59,turkey,kutahya,samralar_gediz,north_east,0.3,29,4.7,4.6,4.6,4.7,4.5,4.6
1.97E+13,1971.05.14,12:51:08 AM,37.47,29.55,turkey,burdur,karakoy_yesilova,north_east,0.3,8,4.8,4.7,4.6,4.8,4.6,4.7
1.97E+13,1974.11.05,12:00:40 AM,39.16,29.3,turkey,kutahya,orenkoy_hisarcik,north_east,0.3,16,3.9,3.9,0,,0,0
1.98E+13,1977.06.21,12:31:45 AM,39.48,27.63,turkey,balikesir,beykoy_savastepe,north_east,0.3,10,4.2,0,4.1,,0,4.2
1.98E+13,1983.02.26,12:10:06 AM,37.71,29.9,turkey,burdur,akcakoy_yesilova,north_east,0.3,0,3.7,0,0,,0,3.7
1.98E+13,1983.05.15,12:57:35 AM,41.74,32.44,turkey,bartin,inpiri_amasra,north_east,0.3,10,3.6,0,0,,0,3.6
1.98E+13,1983.12.09,12:40:11 AM,37.83,29.42,turkey,denizli,kaklik_honaz,north_east,0.3,6,4.4,0,0,,0,4.4
1.99E+13,1986.08.18,12:35:50 AM,39.05,28.66,turkey,manisa,demirci,north_east,0.3,10,3.6,0,0,,0,3.6
1.99E+13,1990.12.09,12:04:35 AM,39.63,27.58,turkey,balikesir,soganbuku_ivrindi,north_east,0.3,1,3.6,3.6,0,,0,0
1.99E+13,1992.06.28,12:32:22 AM,37.92,27.9,turkey,aydin,karakoy,north_east,0.3,12,3.5,3.5,0,,0,0
2.00E+13,1995.08.20,12:12:08 AM,37.83,29.42,turkey,denizli,kaklik_honaz,north_east,0.3,9,3.9,3.9,0,,0,0
2.00E+13,1997.01.21,12:12:53 AM,38.13,28.91,turkey,denizli,camkoy_buldan,north_east,0.3,8,3.7,3.7,0,,0,0
2.00E+13,1999.09.22,12:01:56 AM,40.66,30.53,turkey,sakarya,mesudiye_karapurcek,north_east,0.3,5,3.6,3.6,0,,0,0
2.00E+13,1999.11.12,12:57:21 AM,40.74,31.21,turkey,duzce,ugur,north_east,0.3,25,7.2,7.2,0,,0,0
2.00E+13,1999.11.13,12:52:00 AM,40.78,30.3,turkey,sakarya,cubuklu_serdivan,north_east,0.3,10,4.7,4.7,0,,0,0
2.00E+13,2000.12.15,12:53:16 AM,38.41,31.47,turkey,konya,karabulut_aksehir,north_east,0.3,4,3.5,3.5,0,,0,0
2.00E+13,2003.09.06,12:28:26 AM,39.03,40.27,turkey,bingol,ugurova,north_east,0.3,5,3.5,3.5,0,,0,0
2.00E+13,2003.10.27,12:05:21 AM,37.28,28.2,turkey,mugla,akgedik_yatagan,north_east,0.3,5,4,4,4,,0,4
2.00E+13,2004.08.19,12:50:21 AM,38.27,31.23,turkey,isparta,ozguney_yalvac,north_east,0.3,16,3.5,3.5,0,,0,0
2.01E+13,2006.05.12,12:44:15 AM,37.1,28.06,turkey,mugla,dagpinar,north_east,0.3,6.4,3.6,3.5,3.6,,0,0
2.01E+13,2007.09.25,12:38:09 AM,39.77,27.77,turkey,balikesir,yeniiskender,north_east,0.3,6.8,3.6,0,3.6,,0,0
2.01E+13,2011.05.13,12:28:29 AM,40.78,31.53,turkey,bolu,kizilagil,north_east,0.3,5,3.9,0,3.9,,0,0
2.01E+13,2011.06.27,12:28:51 AM,39.1,29.03,turkey,kutahya,gokceler_simav,north_east,0.3,5.4,4.4,0,4.4,,0,4.2
2.02E+13,2016.10.15,12:23:24 AM,38.94,27.7,turkey,manisa,ballica_akhisar,north_east,0.3,8.4,3.8,0,3.6,3.8,0,0
1.98E+13,1983.07.31,12:58:34 AM,37.83,27.57,turkey,aydin,uzumlu_germencik,north,0.3,0,3.5,0,0,,0,3.5
1.99E+13,1991.06.04,12:55:16 AM,40.59,42.98,turkey,kars,bozkale,north,0.3,10,3.7,0,0,,0,3.7
2.00E+13,1995.10.05,12:15:21 AM,38.04,30.1,turkey,afyonkarahisar,aktoprak_dinar,north,0.3,7,4.6,4.6,0,,0,0
2.01E+13,2013.09.26,12:55:36 AM,38.84,43.58,turkey,van,akcift,north,0.3,5,4,0,4,4,0,0
2.02E+13,2017.04.07,12:22:21 AM,39.55,26.19,turkey,canakkale,yukarikoy_ayvacik,north,0.3,5.2,3.7,0,3.7,3.6,0,0
1.97E+13,1970.05.08,12:00:41 AM,38.93,30.07,turkey,kutahya,zafertepecalkoy_altintas,east,0.3,35,4.2,4,4.2,4.2,3.7,4.1
1.98E+13,1977.05.02,12:55:02 AM,39.48,44.09,turkey,agri,yeniharman_dogubayazit,east,0.3,38,4.8,0,0,,0,4.8
